ID,fullName,email,passwordHash,departementUnisa,biography
c935f5f8-f976-4554-9d80-1d0e759fe47a,Daniel Jones,daniel.jones@gmail.com,$2a$10$Gs.PmaGJQtm0ThQF3VkX2u/VVqW8rHz1KpSFRiLmnY74l7GmlCUSu,FISICA, 
493c80a9-e070-4b45-a17d-23c707e8d961,Molly Michael,molly.michael@gmail.com,$2a$10$Gs.PmaGJQtm0ThQF3VkX2u/VVqW8rHz1KpSFRiLmnY74l7GmlCUSu,AGRICOLA, 
7e028e9b-c852-4bc5-a80d-5d3dfe80e048,Heather Martinez,heather.martinez@gmail.com,$2a$10$Gs.PmaGJQtm0ThQF3VkX2u/VVqW8rHz1KpSFRiLmnY74l7GmlCUSu,INGEGNERIA_EDILE, 
ba6aec3e-7311-4253-b3f3-ad55b589469c,John Flynn,john.flynn@gmail.com,$2a$10$Gs.PmaGJQtm0ThQF3VkX2u/VVqW8rHz1KpSFRiLmnY74l7GmlCUSu,FARMACIA, 
abd93a98-3736-452d-afc0-1690675e9308,Rachel Johnson,rachel.johnson@gmail.com,$2a$10$Gs.PmaGJQtm0ThQF3VkX2u/VVqW8rHz1KpSFRiLmnY74l7GmlCUSu,FISICA, 
d650ce65-fc60-43d0-8795-7c36800e79f0,Rebecca Lee,rebecca.lee@gmail.com,$2a$10$Gs.PmaGJQtm0ThQF3VkX2u/VVqW8rHz1KpSFRiLmnY74l7GmlCUSu,ECONOMICHE_STATISTICHE, 
d06d2a7e-3860-4632-b5f7-ddb786408e6f,Sarah Turner,sarah.turner@gmail.com,$2a$10$Gs.PmaGJQtm0ThQF3VkX2u/VVqW8rHz1KpSFRiLmnY74l7GmlCUSu,MEDICINA_CHIRURGIA_ODONTOIATRIA, 
3016f2c9-9102-4c5f-be69-b4409150a765,James Dorsey,james.dorsey@gmail.com,$2a$10$Gs.PmaGJQtm0ThQF3VkX2u/VVqW8rHz1KpSFRiLmnY74l7GmlCUSu,GIURIDICHE, 
68060117-ee1d-490f-9833-d266f8ed6d33,Kaitlyn Barron,kaitlyn.barron@gmail.com,$2a$10$Gs.PmaGJQtm0ThQF3VkX2u/VVqW8rHz1KpSFRiLmnY74l7GmlCUSu,LINGUAGGIO_BENICULTURALI, 
91465ade-513c-4d63-869c-5363bd0fa5da,Kyle Chen,kyle.chen@gmail.com,$2a$10$Gs.PmaGJQtm0ThQF3VkX2u/VVqW8rHz1KpSFRiLmnY74l7GmlCUSu,CHIMICHE, 
